type,mood,drink,author,link,image
alcoholic,happy,Cuba Libre,The Spruce Eats,https://www.thespruceeats.com/rum-and-coke-recipe-760560,https://www.196flavors.com/wp-content/uploads/2018/09/cuba-libre-1-FP.jpg
alcoholic,sad,The Whiskey Sour,The Spruce Eats,https://www.thespruceeats.com/whiskey-sour-recipe-761273,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2020/11/Whiskey_Sour_GettyImages-1175583212_1920x1280.jpg
alcoholic,excited,Blue Margarita,The Spruce Eats,https://www.thespruceeats.com/blue-margarita-recipe-760849,https://www.homemadefoodjunkie.com/wp-content/uploads/2020/06/Blue-Margarita.jpg
alcoholic,tired,Vodka Red Bull,Liquor.com,https://www.liquor.com/recipes/vodka-red-bull/,https://www.thespruceeats.com/thmb/AEgbs_BpX-AUtTbJXPjh8w5U1r0=/3822x2867/smart/filters:no_upscale()/vodka-red-bull-recipe-761208-6-5b3f95e746e0fb00371b22f1.jpg
alcoholic,angry,Uh oh you should not be drinking alcohol! Please pick another mood or drink type,No recipe - have some water,NA,https://thumbs.dreamstime.com/b/nope-text-buffered-illustration-white-background-107542624.jpg
nonAlcoholic,happy,Low-Calorie Blueberry Smoothie,The Spruce Eats,https://www.thespruceeats.com/blueberry-smoothie-recipe-2238438,https://www.thespruceeats.com/thmb/RZYO6vn-lkvdhbPdF2xGac_bOXk=/960x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/blueberry-smoothie-2238438-16_Hero_1-0901a8305220460da963ef7b210629ea.jpg
nonAlcoholic,sad,Chocolate Milk,The Spruce Eats,https://www.thespruceeats.com/chocolate-milk-recipe-2355494,https://images-prod.healthline.com/hlcmsresource/images/AN_images/chocolate-milk-1296x728-feature.jpg
nonAlcoholic,excited,Fresh Watermelon Lemonade,The Spruce Eats,https://www.thespruceeats.com/fresh-watermelon-lemonade-5071240,https://recipe-graphics.grocerywebsite.com/0_GraphicsRecipes/8583_4k.jpg
nonAlcoholic,tired,Chocolate Coffee Protein Shake,The Spruce Eats,https://www.thespruceeats.com/chocolate-coffee-protein-shake-4031922,https://images.eatthismuch.com/site_media/img/927338_tabitharwheeler_1987479b-93e4-4227-a598-bf34dcf1867f.jpg
nonAlcoholic,angry,Earl Grey Tea,The Spruce Eats,https://www.31daily.com/how-to-brew-earl-grey-tea/,https://images.squarespace-cdn.com/content/v1/55bfb182e4b0d40fc717da51/1602525405828-8T72GWM741CV7S8Q1DHT/ke17ZwdGBToddI8pDm48kNiEM88mrzHRsd1mQ3bxVct7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z4YTzHvnKhyp6Da-NYroOW3ZGjoBKy3azqku80C789l0s0XaMNjCqAzRibjnE_wBlkZ2axuMlPfqFLWy-3Tjp4nKScCHg1XF4aLsQJlo6oYbA/B+-+Earl+Grey+Lavender+%28cup%29.JPG?format=1000w
